query-1: Muestra la cantidad total de dinero abonado por los clientes que han adquirido el ‚Äú1940 Ford Pickup Truck‚Äù
 customernumber |          customername          |  amount   
----------------+--------------------------------+-----------
            141 | Euro+ Shopping Channel         | 715738.98
            124 | Mini Gifts Distributors Ltd.   | 584188.24
            114 | Australian Collectors, Co.     | 180585.07
            148 | Dragon Souveniers, Ltd.        | 156251.03
            276 | Annas Decorations, Ltd         | 137034.22
            321 | Corporate Gift Ideas Co.       | 132340.78
            146 | Saveley & Henriot, Co.         | 130305.35
            363 | Online Diecast Creations Co.   | 116449.29
            458 | Corrida Auto Replicas, Ltd     | 112440.09
            398 | Tokyo Collectables, Ltd        | 105548.73
            161 | Technics Stores Inc.           | 104545.22
            121 | Baane Mini Imports             | 104224.79
            282 | Souveniers And Things Co.      |  91655.61
            249 | Amica Models & Co.             |  82223.23
            448 | Scandinavian Gift Ideas        |  76776.44
            455 | Super Scale Inc.               |  70378.65
            202 | Canadian Gift Exchange Network |  70122.19
            233 | QuÈbec Home Shopping Network   |  68977.67
            129 | Mini Wheels Co.                |  66710.56
            256 | Auto AssociÈs & Cie.           |  58876.41
            339 | Classic Gift Ideas, Inc        |  57939.34
            333 | Australian Gift Network, Co    |  55190.16
            452 | Mini Auto Werke                |  51059.99
            475 | West Coast Collectables Co.    |  43748.72
            173 | Cambridge Collectables Co.     |  32198.69
(25 filas)

