query6: Se desea un listado de todas las parejas de productos que aparezcan en más de un carro de la compra
  code_1   |  code_2   | numcarros 
-----------+-----------+-----------
 S24_1444  | S18_4668  |         2
 S18_4600  | S18_1367  |         2
 S18_1749  | S10_1949  |         2
 S18_2795  | S18_1984  |         2
 S32_1374  | S18_3278  |         2
 S700_3167 | S12_2823  |         2
 S24_4258  | S24_1444  |         2
 S18_4668  | S12_1108  |         2
 S32_3522  | S18_1367  |         2
 S18_4668  | S18_2795  |         2
 S700_1138 | S18_2581  |         2
 S50_4713  | S18_2795  |         2
 S700_1138 | S24_1785  |         2
 S24_3816  | S18_2581  |         2
 S700_2834 | S18_3029  |         2
 S24_2022  | S18_4668  |         2
 S24_4258  | S18_4933  |         2
 S24_2972  | S18_1749  |         2
 S24_3432  | S18_1367  |         2
 S24_4048  | S10_4757  |         2
 S12_4675  | S10_4698  |         2
 S18_4409  | S18_2949  |         2
 S18_4027  | S18_2432  |         2
 S18_3482  | S18_1589  |         2
 S24_3151  | S24_1785  |         2
 S24_3191  | S18_3320  |         2
 S700_1938 | S18_2581  |         2
 S24_4258  | S18_4027  |         2
 S24_1937  | S10_4962  |         2
 S24_4258  | S24_2840  |         2
 S24_4278  | S24_2360  |         2
 S12_4675  | S10_2016  |         2
 S24_4048  | S18_4600  |         2
 S18_2248  | S18_1097  |         2
 S24_3371  | S10_1678  |         2
 S24_2022  | S10_4962  |         2
 S24_4620  | S10_2016  |         2
 S700_3505 | S700_2466 |         2
 S32_2509  | S18_3259  |         2
 S24_4258  | S18_3232  |         2
 S24_2000  | S18_4721  |         2
 S72_1253  | S24_1578  |         2
 S700_2047 | S10_2016  |         2
 S700_3167 | S12_1099  |         2
 S32_1374  | S12_4675  |         2
 S24_3969  | S18_1097  |         2
 S700_2610 | S700_1691 |         2
 S24_4258  | S12_1108  |         2
 S32_3522  | S24_1444  |         2
 S18_4668  | S18_4027  |         2
 S18_3856  | S18_3259  |         2
 S700_3167 | S50_4713  |         2
 S18_4600  | S12_3148  |         2
 S700_3167 | S32_4485  |         2
 S18_3782  | S10_2016  |         2
 S700_3505 | S24_1785  |         2
 S18_3259  | S18_3232  |         2
 S18_2248  | S10_1949  |         2
 S700_3962 | S24_1785  |         2
 S18_1342  | S10_4962  |         2
 S50_4713  | S18_2325  |         2
 S18_3140  | S12_4473  |         2
 S24_2300  | S12_3891  |         2
 S18_4409  | S18_1984  |         2
 S700_2824 | S50_1392  |         2
 S18_4721  | S10_2016  |         2
 S72_1253  | S10_1678  |         2
 S24_3371  | S24_1628  |         2
 S24_3371  | S24_1578  |         2
 S18_4721  | S18_2625  |         2
 S18_3278  | S18_1589  |         2
 S18_3856  | S18_3140  |         2
 S18_3685  | S18_3278  |         2
 S24_4620  | S18_2625  |         2
 S24_2766  | S18_3320  |         2
 S24_2000  | S18_3782  |         2
 S12_3380  | S10_4698  |         2
 S24_2022  | S18_2432  |         2
 S32_2509  | S18_3140  |         2
 S700_1691 | S10_4757  |         2
 S18_1984  | S18_1749  |         2
 S18_4668  | S18_2325  |         2
 S700_2824 | S24_4048  |         2
 S700_3962 | S700_2466 |         2
 S18_3482  | S10_1678  |         2
 S24_1937  | S18_4668  |         2
 S700_1938 | S18_3856  |         2
 S700_2824 | S12_3891  |         2
 S24_4258  | S18_2432  |         2
 S18_2325  | S12_1666  |         2
 S700_3167 | S24_2360  |         2
 S32_2206  | S18_3685  |         2
 S24_3969  | S10_1949  |         2
 S32_4289  | S12_2823  |         2
 S24_2972  | S18_2325  |         2
 S18_2795  | S18_1129  |         2
 S700_2610 | S18_4027  |         2
 S32_1374  | S18_1889  |         2
 S32_3522  | S12_1108  |         2
 S24_2840  | S18_3140  |         2
 S18_3685  | S18_3482  |         2
 S18_3482  | S18_2870  |         2
 S24_2841  | S24_2011  |         2
 S24_1578  | S18_3482  |         2
 S32_2509  | S10_4757  |         2
 S18_2795  | S10_4962  |         2
 S700_1938 | S18_2238  |         2
 S18_3232  | S12_1108  |         2
 S50_4713  | S18_1889  |         2
 S24_1046  | S18_1367  |         2
